1,True,age
4,False,SYMPT-abdominal_pain___1
1,True,SYMPT-chest_pain___1
1,True,SYMPT-diarrhea___1
1,True,SYMPT-extremity_weakness_or_numb___1
1,True,SYMPT-joint_pain_arthralgia___1
4,False,SYMPT-leg_swelling_edema___1
1,True,SYMPT-loss_of_taste_lost_of_smel___1
1,True,SYMPT-nausea_vomiting___1
2,False,SYMPT-runny_nose_rhinorrhea___1
1,True,SYMPT-shortness_of_breath_dyspne___1
3,False,HHX-Diabetes
1,True,HHX-Obesity
1,True,CD-difficulty_with_concentrat___4
1,True,CD-memory_problems___4
1,True,CD-severity_level___1
1,True,CD-severity_level___2
1,True,CD-severity_level___3
